System ID,UPC,EAN,Custom SKU,Manufact. SKU,Item,Vendor ID,Qty.,Price,Tax,Brand,Publish to eCom,Season,Department,MSRP,Tax Class,Default Cost,Vendor,Category,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Subcategory 5,Subcategory 6,Subcategory 7,Subcategory 8,Subcategory 9
2.1E+11,40000560494,2.1E+11,40000560494,,Wrigley Snickers White Chocolate Bar King Size,,0,$6.35 ,Yes,ExoSweet Misc.,Yes,,,6.35,Item,4.32,EXOSWEET/StockUp Market (Candies),Drinks & Snacks Products,Snacks & Candy,,,,,,,,
2.1E+11,70462010916,2.1E+11,70462010916,,Sour Patch Kids Lemonade Fest Gummies,,0,$2.99 ,Yes,ExoSweet Misc.,Yes,,,2.99,Item,1.75,EXOSWEET/StockUp Market (Candies),Drinks & Snacks Products,Snacks & Candy,,,,,,,,
2.1E+11,22000285966,2.1E+11,22000285966,,Skittles Gummies Wild Berry Peg Bag,,0,$6.25 ,Yes,ExoSweet Misc.,Yes,,,6.25,Item,3.85,EXOSWEET/StockUp Market (Candies),Drinks & Snacks Products,Snacks & Candy,,,,,,,,
2.1E+11,34000455034,2.1E+11,34000455034,,Reese’s Pieces Bark With Reeses Pieces Minis & Peanuts Peg Bag,,0,$7.99 ,Yes,ExoSweet Misc.,Yes,,,7.99,Item,5.41,EXOSWEET/StockUp Market (Candies),Drinks & Snacks Products,Snacks & Candy,,,,,,,,
2.1E+11,59800750684,2.1E+11,59800750684,,Nestle Kit Kat X Chunky Rolo Chocolate Bar,,40,$3.99 ,Yes,ExoSweet Misc.,Yes,,,3.99,Item,1.55,EXOSWEET/StockUp Market (Candies),Drinks & Snacks Products,Snacks & Candy,,,,,,,,
2.1E+11,59800752725,2.1E+11,59800752725,,Nestle Coffee Crisp Cold Brew Chocolate Bar,,0,$4.20 ,Yes,ExoSweet Misc.,Yes,,,4.2,Item,2.24,EXOSWEET/StockUp Market (Candies),Drinks & Snacks Products,Snacks & Candy,,,,,,,,
2.1E+11,22000285300,2.1E+11,22000285300,,Lifesaver Gummies Collision Peg Bag,,0,$4.20 ,Yes,ExoSweet Misc.,Yes,,,4.2,Item,2.22,EXOSWEET/StockUp Market (Candies),Drinks & Snacks Products,Snacks & Candy,,,,,,,,
2.1E+11,70970475467,2.1E+11,70970475467,,Mike and Ike Cherry Candy Box,,0,$1.99 ,Yes,ExoSweet Misc.,Yes,,,1.99,Item,0.43,EXOSWEET/StockUp Market (Candies),Drinks & Snacks Products,Snacks & Candy,,,,,,,,
2.1E+11,10700557308,2.1E+11,10700557308,,Jolly Rancher Ropes Blue Raspberry and Cherry Peg Bag,,0,$8.25 ,Yes,ExoSweet Misc.,Yes,,,8.25,Item,5.09,EXOSWEET/StockUp Market (Candies),Drinks & Snacks Products,Snacks & Candy,,,,,,,,
2.1E+11,5.9066E+12,2.1E+11,5.9066E+12,,Habibi Dubai Chocolate Pistachio 100g,,0,$9.99 ,Yes,ExoSweet Misc.,Yes,,,9.99,Item,4.99,EXOSWEET/StockUp Market (Candies),Drinks & Snacks Products,Snacks & Candy,,,,,,,,
2.1E+11,16000137042,2.1E+11,16000137042,,Gushers Super Sour Berry Peg Bag,,19,$7.25 ,Yes,ExoSweet Misc.,Yes,,,7.25,Item,3.63,EXOSWEET/StockUp Market (Candies),Drinks & Snacks Products,Snacks & Candy,,,,,,,,
2.1E+11,79200060695,2.1E+11,79200060695,,Nerds Gummy Clusters Very Berry Share Pouch,,0,$6.99 ,Yes,ExoSweet Misc.,Yes,,,6.99,Item,4.06,EXOSWEET/StockUp Market (Candies),Drinks & Snacks Products,Snacks & Candy,,,,,,,,
2.1E+11,6.9435E+12,2.1E+11,6.9435E+12,,VAPORESSO LUXE XR MAX2 Pod Kit  Black,90416,3,$57.99 ,Yes,Vaporesso,Yes,,,57.99,Item,34.55,Valor Distributions,Nicotine Vape Hardware,Pod Kit,,,,,,,,
2.1E+11,6.9435E+12,2.1E+11,6.9435E+12,,VAPORESSO LUXE XR MAX2 Pod Kit  Blue,90418,1,$57.99 ,Yes,Vaporesso,Yes,,,57.99,Item,34.55,Valor Distributions,Nicotine Vape Hardware,Pod Kit,,,,,,,,
2.1E+11,6.9435E+12,2.1E+11,6.9435E+12,,VAPORESSO LUXE XR MAX2 Pod Kit  Imperial Red Leather,90419,2,$57.99 ,Yes,Vaporesso,Yes,,,57.99,Item,34.55,Valor Distributions,Nicotine Vape Hardware,Pod Kit,,,,,,,,
2.1E+11,8.27152E+11,2.1E+11,8.27152E+11,,ENVI Drip'N Frozen Series Salt 30ml 20mg MB Mango Peach Watermelon Ice Blast,,0,$33.99 ,Yes,ENVI,Yes,,,33.99,Item,23.67,Pacific Smoke,E-Liquid FULL TAX,Salt Nicotine,,,,,,,,
2.1E+11,7.16165E+11,2.1E+11,7.16165E+11,,RAW Classic Phatty King Size Rolling Papers,RAW PHATTY_CA,53,$3.99 ,Yes,RAW,Yes,,,3.99,Item,2,HBI,Cannabis Accessories,Papers / Wraps / Cones,,,,,,,,
2.1E+11,6.28693E+11,2.1E+11,65709,01006286934229321325062710CC-MOSH-002,Woody Nelsons Country Club Crafts Indica Flower 7G,65709,0,$61.99 ,Yes,woody nelson,Yes,,,61.99,GST Only,44.12,MBLL,Cannabis,Whole Flower,,,,,,,,
2.1E+11,8.43686E+11,2.1E+11,63811,0100843686001233132509041025OOP3295,Dab Bods Outsiders Atomic ORG Hybrid Infused Pre-Rolls 5X0.5G,63811,0,$37.99 ,Yes,Dab Bods,Yes,,,37.99,GST Only,26.81,MBLL,Cannabis,Concentrates,,,,,,,,
2.1E+11,8.43686E+11,2.1E+11,63813,0100843686001240132509021025OGP3057,Dab Bods Outsiders Grape ANML Hybrid Infused Pre-Rolls 5X0.5G,63813,0,$37.99 ,Yes,Dab Bods,Yes,,,37.99,GST Only,26.81,MBLL,Cannabis,Concentrates,,,,,,,,
2.1E+11,6.28518E+11,,45728,01006285180000621325062010207225D3102,MTL Cannabis Cookies N Cream Sativa Pre-Rolls 3X0.5G,45728,0,$17.25 ,Yes,MTL Cannabis,Yes,,,17.25,GST Only,12.12,MBLL,Cannabis,Pre-Rolled,,,,,,,,
2.1E+11,8.18094E+11,8.18094E+11,8.18094E+11,8.18094E+11,Pepsi RockStar  Zero Sugar Watermelon,,31,$3.75 ,Yes,Pepsi,No,,,3.75,Item,2,costco,Drinks & Snacks Products,Drinks,,,,,,,,
